時間,新營流量,新營溫度,新營壓力,太保壓力北,太保壓力南,民雄壓力,民雄溫度,民雄流量
2021-08-22 18:50:00,-0.13757057836105599,29.175799999999999,12.3899583358996,11.4777262894934,5.1159959788264899,3.29422249351442,29.840332672058601,-0.61166641233022701
2021-08-22 18:50:01,-0.13490386082709999,29.194050000000001,12.389582812551501,11.4765514378758,5.1175141660766101,3.28003967648405,29.841034640622599,-0.640241110941559
2021-08-22 18:50:02,-0.13509842820082499,29.194050000000001,12.3903124007706,11.477895275,5.11628030364718,3.2961819014192,29.840706546619899,-0.67949793987487195
2021-08-22 18:50:03,-0.13404547535479899,29.194050000000001,12.3894701555471,11.478488065427999,5.11512154588738,3.2946986113230601,29.840683656340602,-0.67896383335876798
2021-08-22 18:50:04,-0.137009766519152,29.211359999999999,12.3899100543263,11.476535344018,5.1186782884556701,3.3028750190752301,29.840607355409698,-0.68918815809553102
2021-08-22 18:50:05,-0.133255760720281,29.22298,12.3901997437662,11.477313213810501,5.1216020059514697,3.2925560811841899,29.840759957271501,-0.68522050969020998
2021-08-22 18:50:06,-0.13642606439798599,29.22298,12.389319946207801,11.4783593145658,5.1188553208911998,3.2885731725927099,29.8410422707157,-0.69285060277735599
2021-08-22 18:50:07,-0.1394132458416,29.22298,12.390435787013599,11.4774634231497,5.1190377179459796,3.2958614375095401,29.840515794292699,-0.73122997100564302
2021-08-22 18:50:08,-0.14068365634060601,29.222470000000001,12.3893253108271,11.4767177410728,5.1218702369143898,3.2899099649015699,29.840447123454901,-0.681329162215776
2021-08-22 18:50:09,-0.14125591332214399,29.222470000000001,12.3898939604685,11.4771039936594,5.12011600641691,3.2998947047153999,29.840492904013399,-0.68110025942316699
2021-08-22 18:50:10,-0.137948267968868,29.21752,12.3904894332062,11.4782466575614,5.1193166781474204,3.2957286738898199,29.840492904013399,-0.70143445750038003
2021-08-22 18:50:11,-0.136780863726538,29.218,12.3892233830612,11.4775143870327,5.1190269887074598,3.3019594079047798,29.840447123454901,-0.67575919426217701
2021-08-22 18:50:12,-0.13611704562795701,29.218,12.389926148183999,11.476623860235801,5.1210548147871204,3.2909949641385601,29.840607355409698,-0.678925682893324
2021-08-22 18:50:13,-0.13531588585380599,29.218,12.389255570776699,11.4782037406074,5.11982631697696,3.29491835800397,29.840706546619899,-0.67610254845109896
2021-08-22 18:50:14,-0.13440027468335,29.20712,12.390248025339501,11.4776485025141,5.11827594201129,3.2951060582939098,29.840645505875202,-0.69361361208606898
2021-08-22 18:50:15,-0.13347321837326201,29.210429999999999,12.389099996818199,11.4766104486876,5.1204968943842504,3.2913840988860099,29.840813367923101,-0.70833969174424005
2021-08-22 18:50:16,-0.136723638028383,29.210429999999999,12.389577447932201,11.477428553124501,5.1212533056996801,3.2912284449870302,29.840645505875202,-0.67057073096292596
2021-08-22 18:50:17,-0.13622005188463299,29.21659,12.3902265668625,11.477584127083,5.1194346997710998,3.2839447581260499,29.840775217457701,-0.61723638028384298
2021-08-22 18:50:18,-0.133312986418436,29.21659,12.3899583358996,11.477863087284399,5.1184154221120099,3.2918785289180499,29.840485273920301,-0.701968564016484
2021-08-22 18:50:19,-0.137925377689607,29.220050000000001,12.3904679747291,11.4769886543453,5.1216449229055403,3.2901846482527102,29.8406149855028,-0.714710819471995
2021-08-22 18:50:20,-0.13604837479017401,29.220050000000001,12.3894004154967,11.476900138127601,5.1234313411185699,3.3013596825881302,29.840988860064101,-0.67423317564473395
2021-08-22 18:50:21,-0.13750190752327299,29.244440000000001,12.3905430793987,11.478219834465101,5.1230129008164198,3.2900747749122501,29.840851518388501,-0.68140546314664596
2021-08-22 18:50:22,-0.133175644742866,29.244440000000001,12.389180466107099,11.477635090966,5.1225676374179798,3.3068304593316,29.840897298947102,-0.686365023653288
2021-08-22 18:50:23,-0.13718144361361101,29.244440000000001,12.3901353683351,11.4768411273157,5.1236405612696503,3.3018495345643202,29.8410193804364,-0.76030062566763601
2021-08-22 18:50:24,-0.13517854417824099,29.240549999999999,12.389615000267099,11.477353448454901,5.12455254654357,3.2958248130627199,29.8410041202503,-0.68670837784220995
2021-08-22 18:50:25,-0.14142759041660299,29.240549999999999,12.389035621387199,11.4785497585495,5.1225944605142697,3.2991255913322202,29.841904471234599,-0.69071417671295698
2021-08-22 18:50:26,-0.14103845566915801,29.210619999999999,12.38749597566,11.477535845509699,5.1220204462536296,3.3110376926598502,29.841416145277002,-0.67457652983365601
