時間,新營流量,新營溫度,新營壓力,太保壓力北,太保壓力南,民雄壓力,民雄溫度,民雄流量
2021-09-23 08:00:00,-0.13357622462993801,28.327120000000001,9.9084464055623407,9.0200279040439497,9.1787401648023792,7.4417991759499502,30.883015412788001,-0.54925225087745799
2021-09-23 08:00:01,-0.130772165420417,28.327120000000001,9.9081728099801598,9.0188074531626707,9.1790191250038191,7.4193163436593901,30.884007324889399,-0.57897146345185102
2021-09-23 08:00:02,-0.13338165725621801,28.362490000000001,9.90712134460553,9.0169271541126204,9.1784182876468794,7.4227132611017899,30.885075537921601,-0.56970090035098397
2021-09-23 08:00:03,-0.131916679383487,28.362490000000001,9.9084088532275292,9.0187323484930602,9.1780105765832491,7.4222279871814401,30.886181901419199,-0.59251487868151798
2021-09-23 08:00:04,-0.13483518998931701,28.372979999999998,9.9084893225164006,9.0173134066992198,9.1789654788112305,7.4002990996490103,30.8869754311003,-0.66084236227682402
2021-09-23 08:00:05,-0.128116893026094,28.372979999999998,9.9084571348008605,9.0188530524263708,9.1784343815046494,7.4081825118266504,30.887685029757399,-0.73771555012971102
2021-09-23 08:00:06,-0.13028002441629599,28.36957,9.90783483896689,9.0195129005951493,9.1783646414542996,7.3192995574545998,30.888386998321401,-0.76644285060278305
2021-09-23 08:00:07,-0.13403403021516599,28.36957,9.9078831205402107,9.0134133284983999,9.1812615358538103,7.2758354951930402,30.889088966885399,-0.74515489088967501
2021-09-23 08:00:08,-0.139230123607508,28.3581,9.9078777559209499,9.0122143360941607,9.1776672409507096,7.2559209522356198,30.889500991912101,-0.683236685487567
2021-09-23 08:00:09,-0.136918205402108,28.3581,9.9084624994201196,9.0088185321036196,9.1788152694720004,7.3271051426827398,30.8898061956356,-0.61540515794292205
2021-09-23 08:00:10,-0.13577369143903401,28.371860000000002,9.9083498424156904,9.0066834136387897,9.1803119982450792,7.3467770486799902,30.891027010529498,-0.62570578361055396
2021-09-23 08:00:11,-0.134480390660766,28.371860000000002,9.9076792650083902,9.0072762040668408,9.1802529874332404,7.2299130169388102,30.891797649931299,-0.53094002746833202
2021-09-23 08:00:12,-0.133175644742866,28.387239999999998,9.9077436404395005,9.0077724313482399,9.1799901210895793,7.2203540363192404,30.891973142072299,-0.59697848313750002
2021-09-23 08:00:13,-0.131802227987182,28.387239999999998,9.9061020669464401,9.0065680743247398,9.1810845034182798,7.3578742560659203,30.893239737524802,-0.74481153670075295
2021-09-23 08:00:14,-0.13295818708988499,28.350180000000002,9.9088326581489401,9.0065224750610398,9.1813741928582306,7.3914817640775201,30.893773844040901,-0.80547077674347001
2021-09-23 08:00:15,-0.13234014954982601,28.350180000000002,9.9022449056996802,9.0002914697924599,9.1810845034182798,7.3875949946589401,30.893934075995698,-0.73317564474286001
2021-09-23 08:00:16,-0.12924996184953599,28.332090000000001,9.8996484299786403,8.9987330478979093,9.1815244021974696,7.4617732336334504,30.895246452006699,-0.71059056920495201
2021-09-23 08:00:17,-0.13028002441629599,28.32762,9.8998683793682307,8.9986954955630996,9.1821788857469908,7.5133496108652498,30.8962536242942,-0.72543110025941804
2021-09-23 08:00:18,-0.133278650999542,28.32762,9.9000990579963393,8.9983655714787094,9.1822969073706702,7.2889562032656796,30.896520677552299,-0.78380131237601403
2021-09-23 08:00:19,-0.13229436899130401,28.32762,9.9005872383488498,8.9953184677399705,9.1818462793529694,7.1075278498397703,30.896322295131998,-0.64443766213947096
2021-09-23 08:00:20,-0.13263772318022199,28.31315,9.8997235346482508,8.9897392637112805,9.1817121638715093,7.3202151686250598,30.897321837326398,-0.59179001983824897
2021-09-23 08:00:21,-0.131722112009767,28.31315,9.9000615056615295,8.9896587944224002,9.1814224744315602,7.3768045170151098,30.898855486036901,-0.63345032809399604
2021-09-23 08:00:22,-0.131687776590873,28.322030000000002,9.8999810363726599,8.98926717721654,9.1815297668167304,7.4008347321837302,30.899549824507901,-0.67972684266748096
2021-09-23 08:00:23,-0.13192812452312,28.322030000000002,9.9005121336792303,8.9897312167823902,9.1815995068670908,7.3621501602319599,30.899656645811099,-0.74233175644743199
2021-09-23 08:00:24,-0.134217152449258,28.290189999999999,9.9003726535785095,8.9843531859758894,9.1828601923928002,7.3752296658019203,30.9002365328857,-0.82137952083016197
2021-09-23 08:00:25,-0.138108499923699,28.290189999999999,9.8985057660765996,8.9799783389706995,9.1826241491454308,7.3819868762398899,30.901869372806299,-0.67526323821149903
2021-09-23 08:00:26,-0.138119945063332,28.300809999999998,9.8983555567373696,8.97939627778117,9.1812454419960403,7.3300717228750196,30.9022813978331,-0.65012208148940098
2021-09-23 08:00:27,-0.135590569204947,28.283000000000001,9.8966120554784105,8.9795062524759608,9.1809396586983105,7.2609888600640904,30.9031817488173,-0.80276209369754004
2021-09-23 08:00:28,-0.13418281703036999,28.283000000000001,9.89440183234397,8.9793104438730396,9.1823666474210306,7.32787425606592,30.9041278803601,-0.88963070349458095
2021-09-23 08:00:29,-0.13134442240195501,28.283000000000001,9.8903086278498407,8.9793292200404409,9.1819750302151704,7.3983580039676502,30.905104532275299,-0.73100106821303401
2021-09-23 08:00:30,-0.129513200061039,28.321549999999998,9.8903032632305798,8.9795840394552098,9.1818462793529694,7.39842209674958,30.905005341065198,-0.68499160689760097
2021-09-23 08:00:31,-0.13259194262169999,28.34564,9.8903944617579693,8.9798603173470202,9.1822378965588296,7.4147520219746701,30.905699679536099,-0.66942621699984795
